date,year,name_en,name_ru
2034-09-06,2034,Janmastami,Шри Кришна Джанмаштами
2034-09-21,2034,Radhastami,Радхаштами
2034-11-10,2034,Dipavali,Дипавали
2034-11-12,2034,Govardhana Puja,Говардхана Пуджа
2035-02-15,2035,Advaita Acarya,Явление Адвайты Ачарьи
2035-02-20,2035,Nityananda Trayodasi,Нитьянанда Трайодаши
2035-03-23,2035,Gaura Purnima,Гаура Пурнима
2035-04-16,2035,Rama Navami,Рама Навами
2035-04-22,2035,Radha Kunda,Явление Радха Кунды
2035-05-21,2035,Nrsimha Caturdasi,Нрисимха Чатурдаши
2035-08-18,2035,Balarama,Явление Баларамы
2035-08-26,2035,Janmastami,Шри Кришна Джанмаштами
2035-09-10,2035,Radhastami,Радхаштами
2035-10-31,2035,Dipavali,Дипавали
2035-11-01,2035,Govardhana Puja,Говардхана Пуджа
